Metric,Time,Value
Lag_Input_Topic,1734634374.809,223155
Lag_Input_Topic,1734634376.809,223155
Lag_Input_Topic,1734634378.809,223155
Lag_Input_Topic,1734634379.809,223155
Lag_Input_Topic,1734634381.809,223155
Lag_Input_Topic,1734634383.809,223155
Lag_Input_Topic,1734634385.809,223155
Lag_Input_Topic,1734634387.809,223155
Lag_Input_Topic,1734634388.809,223155
Lag_Input_Topic,1734634390.809,223176
Lag_Input_Topic,1734634392.809,223190
Lag_Input_Topic,1734634394.809,223204
Lag_Input_Topic,1734634396.809,223218
Lag_Input_Topic,1734634398.809,223232
Lag_Input_Topic,1734634399.809,260684
Lag_Input_Topic,1734634401.809,330930
Lag_Input_Topic,1734634403.809,361555
Lag_Input_Topic,1734634405.809,351789
Lag_Input_Topic,1734634407.809,349174
Lag_Input_Topic,1734634410.809,329085
Lag_Input_Topic,1734634419.809,308595
Lag_Input_Topic,1734634422.809,308616
Lag_Input_Topic,1734634455.809,219550
Lag_Input_Topic,1734634457.809,219557
Lag_Input_Topic,1734634460.809,219585
Lag_Input_Topic,1734634462.809,219592
Lag_Input_Topic,1734634484.809,58396
Lag_Input_Topic,1734634494.809,28
Lag_Input_Topic,1734634496.809,7
Lag_Input_Topic,1734634498.809,71424
Lag_Input_Topic,1734634499.809,71436
Lag_Input_Topic,1734634502.809,71412
Lag_Input_Topic,1734634504.809,71426
Lag_Input_Topic,1734634506.809,71440
Lag_Input_Topic,1734634508.809,71454
Lag_Input_Topic,1734634509.809,71468
Lag_Input_Topic,1734634510.809,71475
Lag_Input_Topic,1734634511.809,71482
Lag_Input_Topic,1734634513.809,71496
Lag_Input_Topic,1734634514.809,71503
Lag_Input_Topic,1734634515.809,71517
Lag_Input_Topic,1734634516.809,71517
Lag_Input_Topic,1734634517.809,71524
Lag_Input_Topic,1734634518.809,71531
Lag_Input_Topic,1734634519.809,71538
Lag_Input_Topic,1734634520.809,71545
Lag_Input_Topic,1734634521.809,71552
Lag_Input_Topic,1734634522.809,71559
Lag_Input_Topic,1734634523.809,71566
Lag_Input_Topic,1734634524.809,71566
Lag_Input_Topic,1734634524.938,71573
Lag_Input_Topic,1734634525.938,71580
Lag_Input_Topic,1734634526.938,71587
Lag_Input_Topic,1734634527.938,71594
Lag_Input_Topic,1734634528.938,71601
Lag_Input_Topic,1734634529.938,71608
Lag_Input_Topic,1734634530.938,71615
Lag_Input_Topic,1734634531.938,71622
Lag_Input_Topic,1734634532.938,71629
Lag_Input_Topic,1734634533.938,71636
Lag_Input_Topic,1734634534.938,71643
Lag_Input_Topic,1734634535.938,71650
Lag_Input_Topic,1734634536.938,71657
Lag_Input_Topic,1734634537.938,71664
Lag_Input_Topic,1734634538.938,71671
Lag_Input_Topic,1734634539.938,71678
Lag_Input_Topic,1734634541.938,71685
Lag_Input_Topic,1734634542.938,71699
Lag_Input_Topic,1734634543.938,71706
Lag_Input_Topic,1734634545.938,71713
Lag_Input_Topic,1734634546.938,71727
Lag_Input_Topic,1734634547.938,71734
Lag_Input_Topic,1734634549.938,71748
Lag_Input_Topic,1734634551.938,71755
Lag_Input_Topic,1734634552.938,71769
Lag_Input_Topic,1734634553.938,71776
Lag_Input_Topic,1734634554.938,71776
Lag_Input_Topic,1734634555.03,71783
Lag_Input_Topic,1734634556.03,71790
Lag_Input_Topic,1734634560.03,278045
Lag_Input_Topic,1734634562.03,370793
Lag_Input_Topic,1734634564.03,352132
Lag_Input_Topic,1734634566.03,348153
Lag_Input_Topic,1734634567.03,348160
Lag_Input_Topic,1734634568.03,342167
Lag_Input_Topic,1734634569.03,335569
Lag_Input_Topic,1734634571.03,322000
Lag_Input_Topic,1734634572.03,322007
Lag_Input_Topic,1734634573.03,318913
Lag_Input_Topic,1734634574.03,313313
Lag_Input_Topic,1734634575.03,300595
Lag_Input_Topic,1734634576.03,292456
Lag_Input_Topic,1734634577.03,292463
Lag_Input_Topic,1734634578.03,288854
Lag_Input_Topic,1734634579.03,282228
Lag_Input_Topic,1734634580.03,263548
Lag_Input_Topic,1734634581.03,258555
Lag_Input_Topic,1734634582.03,252422
Lag_Input_Topic,1734634583.03,247333
Lag_Input_Topic,1734634584.03,247340
Lag_Input_Topic,1734634585.03,247347
Lag_Input_Topic,1734634585.084,247347
Lag_Input_Topic,1734634586.084,220367
Lag_Input_Topic,1734634587.084,209658
Lag_Input_Topic,1734634588.084,209665
Lag_Input_Topic,1734634589.084,203104
Lag_Input_Topic,1734634590.084,203111
Lag_Input_Topic,1734634591.084,183409
Lag_Input_Topic,1734634592.084,183416
Lag_Input_Topic,1734634593.084,183423
Lag_Input_Topic,1734634594.084,183430
Lag_Input_Topic,1734634596.084,183437
Lag_Input_Topic,1734634597.084,183451
Lag_Input_Topic,1734634598.084,183458
Lag_Input_Topic,1734634599.084,183465
Lag_Input_Topic,1734634600.084,183472
Lag_Input_Topic,1734634601.084,183479
Lag_Input_Topic,1734634602.084,183486
Lag_Input_Topic,1734634603.084,183493
