Metric,Time,Value
Lag_Input_Topic,1734642533.022,326271
Lag_Input_Topic,1734642534.022,326285
Lag_Input_Topic,1734642535.022,326292
Lag_Input_Topic,1734642536.022,326299
Lag_Input_Topic,1734642537.022,326307
Lag_Input_Topic,1734642539.022,326313
Lag_Input_Topic,1734642540.022,326327
Lag_Input_Topic,1734642541.022,326334
Lag_Input_Topic,1734642543.022,326341
Lag_Input_Topic,1734642545.022,326355
Lag_Input_Topic,1734642546.022,326369
Lag_Input_Topic,1734642548.022,351046
Lag_Input_Topic,1734642549.022,385996
Lag_Input_Topic,1734642551.022,409344
Lag_Input_Topic,1734642553.022,406715
Lag_Input_Topic,1734642554.022,403657
Lag_Input_Topic,1734642555.022,401046
Lag_Input_Topic,1734642556.022,397411
Lag_Input_Topic,1734642557.022,392419
Lag_Input_Topic,1734642559.022,383819
Lag_Input_Topic,1734642560.022,374187
Lag_Input_Topic,1734642562.022,371589
Lag_Input_Topic,1734642564.022,364103
Lag_Input_Topic,1734642566.022,346822
Lag_Input_Topic,1734642567.022,346836
Lag_Input_Topic,1734642568.022,346839
Lag_Input_Topic,1734642570.022,328622
Lag_Input_Topic,1734642571.022,314266
Lag_Input_Topic,1734642572.022,310176
Lag_Input_Topic,1734642573.022,310184
Lag_Input_Topic,1734642574.022,300075
Lag_Input_Topic,1734642576.022,288338
Lag_Input_Topic,1734642578.022,275069
Lag_Input_Topic,1734642579.022,275079
Lag_Input_Topic,1734642580.022,270590
Lag_Input_Topic,1734642582.022,261975
Lag_Input_Topic,1734642583.022,245921
Lag_Input_Topic,1734642584.022,242336
Lag_Input_Topic,1734642585.022,242341
Lag_Input_Topic,1734642586.022,237755
Lag_Input_Topic,1734642587.022,229758
Lag_Input_Topic,1734642588.022,221269
Lag_Input_Topic,1734642589.022,211456
Lag_Input_Topic,1734642590.022,206880
Lag_Input_Topic,1734642591.022,206889
Lag_Input_Topic,1734642592.022,201816
Lag_Input_Topic,1734642593.022,181591
Lag_Input_Topic,1734642594.022,165629
Lag_Input_Topic,1734642595.022,157011
Lag_Input_Topic,1734642596.022,157015
Lag_Input_Topic,1734642597.022,150345
Lag_Input_Topic,1734642598.022,142349
Lag_Input_Topic,1734642599.022,117343
Lag_Input_Topic,1734642600.022,109115
Lag_Input_Topic,1734642601.022,109129
Lag_Input_Topic,1734642602.022,102779
Lag_Input_Topic,1734642604.022,89989
Lag_Input_Topic,1734642605.022,71484
Lag_Input_Topic,1734642606.022,71491
Lag_Input_Topic,1734642607.022,71503
Lag_Input_Topic,1734642608.022,65360
Lag_Input_Topic,1734642609.022,47456
Lag_Input_Topic,1734642611.022,46988
Lag_Input_Topic,1734642612.022,46988
Lag_Input_Topic,1734642613.022,40832
Lag_Input_Topic,1734642614.022,40839
Lag_Input_Topic,1734642615.022,20470
Lag_Input_Topic,1734642616.022,20477
Lag_Input_Topic,1734642617.022,20456
Lag_Input_Topic,1734642618.022,5304
Lag_Input_Topic,1734642619.022,5308
Lag_Input_Topic,1734642620.022,21
Lag_Input_Topic,1734642621.022,30
Lag_Input_Topic,1734642622.022,14
Lag_Input_Topic,1734642623.022,23
Lag_Input_Topic,1734642624.022,28
Lag_Input_Topic,1734642625.022,0
Lag_Input_Topic,1734642626.022,7
Lag_Input_Topic,1734642627.022,7
Lag_Input_Topic,1734642628.022,14
Lag_Input_Topic,1734642629.022,21
Lag_Input_Topic,1734642630.022,21
Lag_Input_Topic,1734642631.022,30
Lag_Input_Topic,1734642632.022,35
Lag_Input_Topic,1734642633.022,42
Lag_Input_Topic,1734642634.022,49
Lag_Input_Topic,1734642635.022,56
Lag_Input_Topic,1734642636.022,65
Lag_Input_Topic,1734642637.022,72
Lag_Input_Topic,1734642638.022,79
Lag_Input_Topic,1734642639.022,84
Lag_Input_Topic,1734642640.022,91
Lag_Input_Topic,1734642641.022,98
Lag_Input_Topic,1734642642.022,110
Lag_Input_Topic,1734642643.022,112
Lag_Input_Topic,1734642644.022,124
Lag_Input_Topic,1734642645.022,126
Lag_Input_Topic,1734642646.022,133
Lag_Input_Topic,1734642647.022,140
Lag_Input_Topic,1734642648.022,147
Lag_Input_Topic,1734642649.022,154
Lag_Input_Topic,1734642650.022,161
Lag_Input_Topic,1734642651.022,175
