Metric,Time,Value
Lag_Input_Topic,1734669844.252,14
Lag_Input_Topic,1734669846.252,21
Lag_Input_Topic,1734669847.252,1
Lag_Input_Topic,1734669848.252,8
Lag_Input_Topic,1734669849.252,15
Lag_Input_Topic,1734669850.252,22
Lag_Input_Topic,1734669851.252,28
Lag_Input_Topic,1734669852.252,32
Lag_Input_Topic,1734669853.252,8
Lag_Input_Topic,1734669854.252,10
Lag_Input_Topic,1734669855.252,17
Lag_Input_Topic,1734669856.252,24
Lag_Input_Topic,1734669857.252,31
Lag_Input_Topic,1734669858.252,8
Lag_Input_Topic,1734669859.252,14
Lag_Input_Topic,1734669860.252,22
Lag_Input_Topic,1734669861.252,24
Lag_Input_Topic,1734669862.252,31
Lag_Input_Topic,1734669863.252,3
Lag_Input_Topic,1734669864.252,11
Lag_Input_Topic,1734669865.252,21
Lag_Input_Topic,1734669866.252,24
Lag_Input_Topic,1734669867.252,31
Lag_Input_Topic,1734669868.252,3
Lag_Input_Topic,1734669869.252,16
Lag_Input_Topic,1734669870.252,17
Lag_Input_Topic,1734669871.252,28
Lag_Input_Topic,1734669872.252,31
Lag_Input_Topic,1734669873.252,38
Lag_Input_Topic,1734669874.252,45
Lag_Input_Topic,1734669876.252,52
Lag_Input_Topic,1734669879.252,80
Lag_Input_Topic,1734669881.252,91
Lag_Input_Topic,1734669882.252,103
Lag_Input_Topic,1734669883.252,112
Lag_Input_Topic,1734669884.252,119
Lag_Input_Topic,1734669885.252,126
Lag_Input_Topic,1734669886.252,131
Lag_Input_Topic,1734669887.252,138
Lag_Input_Topic,1734669888.252,143
Lag_Input_Topic,1734669889.252,155
Lag_Input_Topic,1734669890.252,157
Lag_Input_Topic,1734669891.252,164
Lag_Input_Topic,1734669892.252,171
Lag_Input_Topic,1734669893.252,178
Lag_Input_Topic,1734669894.252,187
Lag_Input_Topic,1734669895.252,196
Lag_Input_Topic,1734669896.252,206
Lag_Input_Topic,1734669897.252,208
Lag_Input_Topic,1734669898.252,213
Lag_Input_Topic,1734669899.252,221
Lag_Input_Topic,1734669901.252,227
Lag_Input_Topic,1734669902.252,247
Lag_Input_Topic,1734669904.252,248
Lag_Input_Topic,1734669906.252,264
Lag_Input_Topic,1734669907.252,278
Lag_Input_Topic,1734669908.252,285
Lag_Input_Topic,1734669910.252,167
Lag_Input_Topic,1734669911.252,1108
Lag_Input_Topic,1734669912.252,1115
Lag_Input_Topic,1734669913.252,1122
Lag_Input_Topic,1734669914.252,1129
Lag_Input_Topic,1734669915.252,1046
Lag_Input_Topic,1734669916.252,7
Lag_Input_Topic,1734669917.252,14
Lag_Input_Topic,1734669918.252,21
Lag_Input_Topic,1734669919.252,28
Lag_Input_Topic,1734669920.252,0
Lag_Input_Topic,1734669921.252,7
Lag_Input_Topic,1734669922.252,14
Lag_Input_Topic,1734669923.252,21
Lag_Input_Topic,1734669924.252,28
Lag_Input_Topic,1734669925.252,0
Lag_Input_Topic,1734669926.252,7
Lag_Input_Topic,1734669927.252,14
Lag_Input_Topic,1734669928.252,21
Lag_Input_Topic,1734669929.252,28
Lag_Input_Topic,1734669930.252,7
