Metric,Time,Value
Lag_Input_Topic,1734642004.81,367630
Lag_Input_Topic,1734642006.81,367658
Lag_Input_Topic,1734642007.81,367670
Lag_Input_Topic,1734642008.81,367679
Lag_Input_Topic,1734642010.81,397321
Lag_Input_Topic,1734642012.81,413118
Lag_Input_Topic,1734642015.81,404138
Lag_Input_Topic,1734642017.81,401532
Lag_Input_Topic,1734642020.81,384905
Lag_Input_Topic,1734642022.81,381926
Lag_Input_Topic,1734642023.81,378937
Lag_Input_Topic,1734642024.81,372947
Lag_Input_Topic,1734642025.81,363159
Lag_Input_Topic,1734642027.81,355955
Lag_Input_Topic,1734642028.81,351822
Lag_Input_Topic,1734642030.81,342582
Lag_Input_Topic,1734642032.81,337590
Lag_Input_Topic,1734642033.81,337603
Lag_Input_Topic,1734642036.81,337611
Lag_Input_Topic,1734642038.81,337640
Lag_Input_Topic,1734642040.81,337645
Lag_Input_Topic,1734642042.81,337659
Lag_Input_Topic,1734642043.81,337674
Lag_Input_Topic,1734642044.81,337682
Lag_Input_Topic,1734642045.81,337688
Lag_Input_Topic,1734642047.81,337694
Lag_Input_Topic,1734642048.81,337715
Lag_Input_Topic,1734642050.81,337716
Lag_Input_Topic,1734642051.81,337729
Lag_Input_Topic,1734642053.81,337743
Lag_Input_Topic,1734642055.81,337753
Lag_Input_Topic,1734642056.81,337764
Lag_Input_Topic,1734642058.81,337772
Lag_Input_Topic,1734642061.81,337792
Lag_Input_Topic,1734642063.81,337806
Lag_Input_Topic,1734642065.81,337820
Lag_Input_Topic,1734642067.81,337834
Lag_Input_Topic,1734642069.81,337848
Lag_Input_Topic,1734642071.81,337862
Lag_Input_Topic,1734642072.81,337876
Lag_Input_Topic,1734642073.81,337883
Lag_Input_Topic,1734642074.81,337890
Lag_Input_Topic,1734642076.81,337897
Lag_Input_Topic,1734642078.81,371917
Lag_Input_Topic,1734642080.81,391185
Lag_Input_Topic,1734642081.81,418014
Lag_Input_Topic,1734642082.81,406257
Lag_Input_Topic,1734642083.81,395996
Lag_Input_Topic,1734642085.81,393360
Lag_Input_Topic,1734642087.81,383083
Lag_Input_Topic,1734642088.81,376454
Lag_Input_Topic,1734642090.81,366242
Lag_Input_Topic,1734642092.81,366256
Lag_Input_Topic,1734642093.81,357270
Lag_Input_Topic,1734642094.81,349161
Lag_Input_Topic,1734642095.81,330481
Lag_Input_Topic,1734642096.81,330488
Lag_Input_Topic,1734642097.81,330495
Lag_Input_Topic,1734642098.81,325369
Lag_Input_Topic,1734642099.81,319376
Lag_Input_Topic,1734642100.81,289225
Lag_Input_Topic,1734642101.81,289232
Lag_Input_Topic,1734642102.81,289239
Lag_Input_Topic,1734642103.81,289246
Lag_Input_Topic,1734642104.81,284127
Lag_Input_Topic,1734642105.81,270914
Lag_Input_Topic,1734642106.81,246453
Lag_Input_Topic,1734642107.81,240460
Lag_Input_Topic,1734642108.81,240467
Lag_Input_Topic,1734642109.81,234242
Lag_Input_Topic,1734642110.81,220660
Lag_Input_Topic,1734642111.81,190947
Lag_Input_Topic,1734642112.81,190954
Lag_Input_Topic,1734642113.81,190961
Lag_Input_Topic,1734642114.81,190968
Lag_Input_Topic,1734642115.81,184350
Lag_Input_Topic,1734642116.81,184357
Lag_Input_Topic,1734642117.81,150438
Lag_Input_Topic,1734642118.81,150445
Lag_Input_Topic,1734642119.81,150452
Lag_Input_Topic,1734642121.81,142399
Lag_Input_Topic,1734642122.81,123627
Lag_Input_Topic,1734642124.81,112882
Lag_Input_Topic,1734642125.81,112896
Lag_Input_Topic,1734642126.81,108847
Lag_Input_Topic,1734642128.81,97356
