Metric,Time,Value
Lag_Input_Topic,1734690617.548,7884
Lag_Input_Topic,1734690618.548,7891
Lag_Input_Topic,1734690619.548,7898
Lag_Input_Topic,1734690621.548,2358
Lag_Input_Topic,1734690665.548,8038
Lag_Input_Topic,1734690668.548,8055
Lag_Input_Topic,1734690671.548,8075
Lag_Input_Topic,1734690673.548,8094
Lag_Input_Topic,1734690676.548,8108
Lag_Input_Topic,1734690677.548,8129
Lag_Input_Topic,1734690679.548,8138
Lag_Input_Topic,1734690680.548,8150
Lag_Input_Topic,1734690681.548,8157
Lag_Input_Topic,1734690682.548,8164
Lag_Input_Topic,1734690683.548,8171
Lag_Input_Topic,1734690684.548,8178
Lag_Input_Topic,1734690686.548,8192
Lag_Input_Topic,1734690688.548,8199
Lag_Input_Topic,1734690690.548,8213
Lag_Input_Topic,1734690691.548,8227
Lag_Input_Topic,1734690692.548,8234
Lag_Input_Topic,1734690694.548,8241
Lag_Input_Topic,1734690695.548,8255
Lag_Input_Topic,1734690696.548,8262
Lag_Input_Topic,1734690697.548,8269
Lag_Input_Topic,1734690698.548,8276
Lag_Input_Topic,1734690699.548,8283
Lag_Input_Topic,1734690700.548,8290
Lag_Input_Topic,1734690701.548,8297
Lag_Input_Topic,1734690702.548,8304
Lag_Input_Topic,1734690703.548,8311
Lag_Input_Topic,1734690704.548,8318
Lag_Input_Topic,1734690705.548,8325
Lag_Input_Topic,1734690706.548,8332
Lag_Input_Topic,1734690707.548,8339
Lag_Input_Topic,1734690708.548,8346
Lag_Input_Topic,1734690709.548,8353
Lag_Input_Topic,1734690710.548,8360
Lag_Input_Topic,1734690712.548,8367
Lag_Input_Topic,1734690714.548,8381
Lag_Input_Topic,1734690716.548,8402
Lag_Input_Topic,1734690719.548,8409
Lag_Input_Topic,1734690721.548,8430
Lag_Input_Topic,1734690723.548,8444
Lag_Input_Topic,1734690725.548,8458
Lag_Input_Topic,1734690727.548,43756
Lag_Input_Topic,1734690729.548,106479
Lag_Input_Topic,1734690731.548,112859
Lag_Input_Topic,1734690733.548,103712
Lag_Input_Topic,1734690735.548,97726
Lag_Input_Topic,1734690736.548,94733
Lag_Input_Topic,1734690738.548,85740
Lag_Input_Topic,1734690740.548,73186
Lag_Input_Topic,1734690742.548,70727
Lag_Input_Topic,1734690745.548,52530
Lag_Input_Topic,1734690751.548,40846
Lag_Input_Topic,1734690753.548,40867
Lag_Input_Topic,1734690754.548,40881
Lag_Input_Topic,1734690755.548,40888
Lag_Input_Topic,1734690756.548,40895
Lag_Input_Topic,1734690758.548,40902
Lag_Input_Topic,1734690760.548,40916
Lag_Input_Topic,1734690761.548,40929
Lag_Input_Topic,1734690762.548,40936
Lag_Input_Topic,1734690763.548,40943
Lag_Input_Topic,1734690764.548,40950
Lag_Input_Topic,1734690765.548,40957
Lag_Input_Topic,1734690766.548,40964
Lag_Input_Topic,1734690766.674,40964
Lag_Input_Topic,1734690767.674,40971
Lag_Input_Topic,1734690768.674,40978
Lag_Input_Topic,1734690769.674,40985
Lag_Input_Topic,1734690770.674,40992
Lag_Input_Topic,1734690771.674,40999
Lag_Input_Topic,1734690772.674,41006
Lag_Input_Topic,1734690773.674,41013
Lag_Input_Topic,1734690774.674,41020
Lag_Input_Topic,1734690775.674,41027
Lag_Input_Topic,1734690776.674,41034
Lag_Input_Topic,1734690777.674,41041
Lag_Input_Topic,1734690778.674,41048
Lag_Input_Topic,1734690779.674,41055
Lag_Input_Topic,1734690780.674,41062
Lag_Input_Topic,1734690781.674,41069
Lag_Input_Topic,1734690782.674,41076
Lag_Input_Topic,1734690783.674,41083
Lag_Input_Topic,1734690784.674,41090
Lag_Input_Topic,1734690785.674,41097
Lag_Input_Topic,1734690786.674,41104
Lag_Input_Topic,1734690787.674,41111
Lag_Input_Topic,1734690788.674,41119
Lag_Input_Topic,1734690789.674,41125
Lag_Input_Topic,1734690790.674,41132
Lag_Input_Topic,1734690791.674,41139
Lag_Input_Topic,1734690792.674,41146
Lag_Input_Topic,1734690794.674,41154
Lag_Input_Topic,1734690795.674,41167
Lag_Input_Topic,1734690796.674,41167
Lag_Input_Topic,1734690796.742,41175
Lag_Input_Topic,1734690797.742,41181
