Metric,Time,Value
Lag_Input_Topic,1734669271.453,460
Lag_Input_Topic,1734669272.453,467
Lag_Input_Topic,1734669273.453,474
Lag_Input_Topic,1734669274.453,481
Lag_Input_Topic,1734669275.453,488
Lag_Input_Topic,1734669277.453,495
Lag_Input_Topic,1734669300.453,509
Lag_Input_Topic,1734669319.453,619
Lag_Input_Topic,1734669333.453,21
Lag_Input_Topic,1734669335.453,28
Lag_Input_Topic,1734669337.453,9450
Lag_Input_Topic,1734669338.453,9455
Lag_Input_Topic,1734669339.453,9462
Lag_Input_Topic,1734669341.453,14
Lag_Input_Topic,1734669342.453,28
Lag_Input_Topic,1734669344.453,5
Lag_Input_Topic,1734669346.453,0
Lag_Input_Topic,1734669347.453,14
Lag_Input_Topic,1734669348.453,21
Lag_Input_Topic,1734669349.453,28
Lag_Input_Topic,1734669350.453,35
Lag_Input_Topic,1734669351.453,7
Lag_Input_Topic,1734669352.453,14
Lag_Input_Topic,1734669353.453,21
Lag_Input_Topic,1734669354.453,28
Lag_Input_Topic,1734669355.453,35
Lag_Input_Topic,1734669356.453,7
Lag_Input_Topic,1734669357.453,14
Lag_Input_Topic,1734669358.453,21
Lag_Input_Topic,1734669359.453,28
Lag_Input_Topic,1734669360.453,35
Lag_Input_Topic,1734669361.453,12
Lag_Input_Topic,1734669362.453,19
Lag_Input_Topic,1734669363.453,23
Lag_Input_Topic,1734669364.453,12
Lag_Input_Topic,1734669365.453,19
Lag_Input_Topic,1734669366.453,7
Lag_Input_Topic,1734669367.453,14
Lag_Input_Topic,1734669368.453,21
Lag_Input_Topic,1734669369.453,28
Lag_Input_Topic,1734669370.453,35
Lag_Input_Topic,1734669371.453,7
Lag_Input_Topic,1734669372.453,14
Lag_Input_Topic,1734669373.453,21
Lag_Input_Topic,1734669374.453,28
Lag_Input_Topic,1734669375.453,35
Lag_Input_Topic,1734669376.453,6
Lag_Input_Topic,1734669377.453,10
Lag_Input_Topic,1734669378.453,19
Lag_Input_Topic,1734669379.453,24
Lag_Input_Topic,1734669380.453,35
Lag_Input_Topic,1734669381.453,7
Lag_Input_Topic,1734669382.453,14
Lag_Input_Topic,1734669383.453,17
Lag_Input_Topic,1734669384.453,9
Lag_Input_Topic,1734669385.453,16
Lag_Input_Topic,1734669386.453,21
Lag_Input_Topic,1734669387.453,24
Lag_Input_Topic,1734669388.453,34
Lag_Input_Topic,1734669389.453,6
Lag_Input_Topic,1734669390.453,10
Lag_Input_Topic,1734669391.453,21
Lag_Input_Topic,1734669392.453,23
Lag_Input_Topic,1734669393.453,34
Lag_Input_Topic,1734669394.453,37
Lag_Input_Topic,1734669395.453,44
Lag_Input_Topic,1734669396.453,56
Lag_Input_Topic,1734669397.453,58
Lag_Input_Topic,1734669398.453,70
Lag_Input_Topic,1734669399.453,77
Lag_Input_Topic,1734669400.453,84
Lag_Input_Topic,1734669401.453,91
Lag_Input_Topic,1734669402.453,98
Lag_Input_Topic,1734669403.453,101
Lag_Input_Topic,1734669404.453,112
Lag_Input_Topic,1734669405.453,119
Lag_Input_Topic,1734669406.453,126
Lag_Input_Topic,1734669406.582,132
Lag_Input_Topic,1734669407.582,135
Lag_Input_Topic,1734669409.582,147
Lag_Input_Topic,1734669410.582,161
Lag_Input_Topic,1734669411.582,168
Lag_Input_Topic,1734669412.582,175
Lag_Input_Topic,1734669413.582,182
Lag_Input_Topic,1734669414.582,187
Lag_Input_Topic,1734669415.582,195
Lag_Input_Topic,1734669416.582,198
Lag_Input_Topic,1734669417.582,205
Lag_Input_Topic,1734669418.582,217
Lag_Input_Topic,1734669419.582,220
Lag_Input_Topic,1734669420.582,227
Lag_Input_Topic,1734669421.582,236
Lag_Input_Topic,1734669422.582,245
Lag_Input_Topic,1734669424.582,259
Lag_Input_Topic,1734669425.582,266
Lag_Input_Topic,1734669426.582,268
Lag_Input_Topic,1734669427.582,275
Lag_Input_Topic,1734669428.582,284
Lag_Input_Topic,1734669430.582,294
Lag_Input_Topic,1734669431.582,308
Lag_Input_Topic,1734669433.582,315
Lag_Input_Topic,1734669434.582,329
Lag_Input_Topic,1734669436.662,335
Lag_Input_Topic,1734669437.662,349
Lag_Input_Topic,1734669439.662,357
Lag_Input_Topic,1734669441.662,1506
Lag_Input_Topic,1734669442.662,1515
Lag_Input_Topic,1734669443.662,1526
Lag_Input_Topic,1734669444.662,1530
Lag_Input_Topic,1734669445.662,34
Lag_Input_Topic,1734669446.662,2
Lag_Input_Topic,1734669447.662,9
Lag_Input_Topic,1734669448.662,16
Lag_Input_Topic,1734669449.662,22
Lag_Input_Topic,1734669450.662,28
Lag_Input_Topic,1734669451.662,0
Lag_Input_Topic,1734669452.662,7
Lag_Input_Topic,1734669453.662,14
Lag_Input_Topic,1734669454.662,21
Lag_Input_Topic,1734669455.662,28
Lag_Input_Topic,1734669456.662,5
Lag_Input_Topic,1734669457.662,12
Lag_Input_Topic,1734669458.662,19
Lag_Input_Topic,1734669459.662,26
Lag_Input_Topic,1734669460.662,26
Lag_Input_Topic,1734669461.662,0
Lag_Input_Topic,1734669462.662,9
Lag_Input_Topic,1734669463.662,15
Lag_Input_Topic,1734669464.662,16
Lag_Input_Topic,1734669465.662,23
Lag_Input_Topic,1734669466.662,14
Lag_Input_Topic,1734669466.715,14
Lag_Input_Topic,1734669467.715,21
Lag_Input_Topic,1734669468.715,28
Lag_Input_Topic,1734669469.715,0
Lag_Input_Topic,1734669470.715,7
Lag_Input_Topic,1734669471.715,14
Lag_Input_Topic,1734669472.715,21
Lag_Input_Topic,1734669473.715,28
Lag_Input_Topic,1734669474.715,0
Lag_Input_Topic,1734669475.715,7
Lag_Input_Topic,1734669476.715,14
Lag_Input_Topic,1734669477.715,21
Lag_Input_Topic,1734669478.715,28
Lag_Input_Topic,1734669479.715,35
Lag_Input_Topic,1734669480.715,26
Lag_Input_Topic,1734669481.715,2
Lag_Input_Topic,1734669482.715,2
Lag_Input_Topic,1734669483.715,9
Lag_Input_Topic,1734669484.715,16
Lag_Input_Topic,1734669485.715,23
Lag_Input_Topic,1734669486.715,28
Lag_Input_Topic,1734669487.715,0
Lag_Input_Topic,1734669488.715,7
Lag_Input_Topic,1734669489.715,14
Lag_Input_Topic,1734669490.715,21
Lag_Input_Topic,1734669491.715,28
Lag_Input_Topic,1734669492.715,1
Lag_Input_Topic,1734669493.715,7
Lag_Input_Topic,1734669494.715,14
Lag_Input_Topic,1734669495.715,21
Lag_Input_Topic,1734669496.715,28
Lag_Input_Topic,1734669496.778,28
Lag_Input_Topic,1734669497.778,0
Lag_Input_Topic,1734669498.778,7
Lag_Input_Topic,1734669499.778,14
Lag_Input_Topic,1734669500.778,2
Lag_Input_Topic,1734669501.778,10
Lag_Input_Topic,1734669502.778,15
Lag_Input_Topic,1734669503.778,22
Lag_Input_Topic,1734669504.778,29
Lag_Input_Topic,1734669505.778,0
Lag_Input_Topic,1734669506.778,7
Lag_Input_Topic,1734669507.778,14
Lag_Input_Topic,1734669508.778,21
Lag_Input_Topic,1734669509.778,28
Lag_Input_Topic,1734669510.778,21
Lag_Input_Topic,1734669511.778,26
Lag_Input_Topic,1734669512.778,33
Lag_Input_Topic,1734669513.778,40
Lag_Input_Topic,1734669514.778,47
Lag_Input_Topic,1734669515.778,54
Lag_Input_Topic,1734669516.778,61
Lag_Input_Topic,1734669517.778,68
Lag_Input_Topic,1734669518.778,75
Lag_Input_Topic,1734669519.778,82
Lag_Input_Topic,1734669520.778,89
Lag_Input_Topic,1734669521.778,96
Lag_Input_Topic,1734669522.778,103
Lag_Input_Topic,1734669523.778,110
Lag_Input_Topic,1734669524.778,117
Lag_Input_Topic,1734669525.778,124
Lag_Input_Topic,1734669526.778,131
Lag_Input_Topic,1734669526.822,131
Lag_Input_Topic,1734669527.822,138
Lag_Input_Topic,1734669528.822,145
Lag_Input_Topic,1734669529.822,152
Lag_Input_Topic,1734669530.822,159
Lag_Input_Topic,1734669531.822,166
Lag_Input_Topic,1734669532.822,173
Lag_Input_Topic,1734669533.822,180
Lag_Input_Topic,1734669534.822,187
Lag_Input_Topic,1734669535.822,194
Lag_Input_Topic,1734669536.822,201
Lag_Input_Topic,1734669537.822,208
Lag_Input_Topic,1734669538.822,215
Lag_Input_Topic,1734669539.822,222
