Metric,Time,Value
Lag_Input_Topic,1734666844.309,15
Lag_Input_Topic,1734666845.309,22
Lag_Input_Topic,1734666846.309,29
Lag_Input_Topic,1734666847.309,1
Lag_Input_Topic,1734666848.309,8
Lag_Input_Topic,1734666849.309,15
Lag_Input_Topic,1734666850.309,22
Lag_Input_Topic,1734666851.309,29
Lag_Input_Topic,1734666852.309,1
Lag_Input_Topic,1734666853.309,8
Lag_Input_Topic,1734666854.309,15
Lag_Input_Topic,1734666855.309,22
Lag_Input_Topic,1734666856.309,29
Lag_Input_Topic,1734666857.309,1
Lag_Input_Topic,1734666858.309,8
Lag_Input_Topic,1734666859.309,15
Lag_Input_Topic,1734666860.309,22
Lag_Input_Topic,1734666861.309,29
Lag_Input_Topic,1734666862.309,1
Lag_Input_Topic,1734666863.309,8
Lag_Input_Topic,1734666864.309,15
Lag_Input_Topic,1734666865.309,22
Lag_Input_Topic,1734666866.309,29
Lag_Input_Topic,1734666867.309,1
Lag_Input_Topic,1734666868.309,8
Lag_Input_Topic,1734666869.309,15
Lag_Input_Topic,1734666870.309,22
Lag_Input_Topic,1734666871.309,29
Lag_Input_Topic,1734666872.309,36
Lag_Input_Topic,1734666873.309,43
Lag_Input_Topic,1734666874.309,50
Lag_Input_Topic,1734666875.309,57
Lag_Input_Topic,1734666876.309,64
Lag_Input_Topic,1734666877.309,71
Lag_Input_Topic,1734666878.309,78
Lag_Input_Topic,1734666879.309,85
Lag_Input_Topic,1734666880.309,92
Lag_Input_Topic,1734666881.309,99
Lag_Input_Topic,1734666882.309,106
Lag_Input_Topic,1734666883.309,113
Lag_Input_Topic,1734666884.309,120
Lag_Input_Topic,1734666885.309,127
Lag_Input_Topic,1734666886.309,134
Lag_Input_Topic,1734666887.309,141
Lag_Input_Topic,1734666888.309,148
Lag_Input_Topic,1734666889.309,155
Lag_Input_Topic,1734666890.309,162
Lag_Input_Topic,1734666891.309,169
Lag_Input_Topic,1734666892.309,176
Lag_Input_Topic,1734666893.309,183
Lag_Input_Topic,1734666894.309,190
Lag_Input_Topic,1734666895.309,200
Lag_Input_Topic,1734666896.309,204
Lag_Input_Topic,1734666897.309,211
Lag_Input_Topic,1734666898.309,218
Lag_Input_Topic,1734666900.309,225
Lag_Input_Topic,1734666901.309,239
Lag_Input_Topic,1734666903.309,246
Lag_Input_Topic,1734666904.309,260
Lag_Input_Topic,1734666905.309,0
Lag_Input_Topic,1734666906.309,7
Lag_Input_Topic,1734666907.309,14
Lag_Input_Topic,1734666908.309,21
Lag_Input_Topic,1734666909.309,28
Lag_Input_Topic,1734666910.309,35
Lag_Input_Topic,1734666911.309,7
Lag_Input_Topic,1734666912.309,14
Lag_Input_Topic,1734666913.309,21
Lag_Input_Topic,1734666914.309,28
Lag_Input_Topic,1734666915.309,35
Lag_Input_Topic,1734666916.309,7
Lag_Input_Topic,1734666917.309,14
Lag_Input_Topic,1734666918.309,21
Lag_Input_Topic,1734666919.309,28
Lag_Input_Topic,1734666920.309,35
Lag_Input_Topic,1734666921.309,7
Lag_Input_Topic,1734666922.309,14
Lag_Input_Topic,1734666923.309,21
Lag_Input_Topic,1734666924.309,28
Lag_Input_Topic,1734666925.309,35
Lag_Input_Topic,1734666926.309,7
Lag_Input_Topic,1734666927.309,14
Lag_Input_Topic,1734666928.309,21
Lag_Input_Topic,1734666929.309,28
Lag_Input_Topic,1734666930.309,35
Lag_Input_Topic,1734666931.309,7
Lag_Input_Topic,1734666932.309,14
Lag_Input_Topic,1734666933.309,21
Lag_Input_Topic,1734666934.309,28
Lag_Input_Topic,1734666935.309,35
Lag_Input_Topic,1734666936.309,7
Lag_Input_Topic,1734666937.309,14
Lag_Input_Topic,1734666938.309,21
Lag_Input_Topic,1734666939.309,28
Lag_Input_Topic,1734666940.309,35
Lag_Input_Topic,1734666941.309,7
Lag_Input_Topic,1734666942.309,14
Lag_Input_Topic,1734666943.309,21
Lag_Input_Topic,1734666944.309,28
Lag_Input_Topic,1734666945.309,35
Lag_Input_Topic,1734666946.309,7
Lag_Input_Topic,1734666947.309,14
Lag_Input_Topic,1734666948.309,21
Lag_Input_Topic,1734666949.309,28
Lag_Input_Topic,1734666950.309,35
Lag_Input_Topic,1734666951.309,29
Lag_Input_Topic,1734666952.309,1
Lag_Input_Topic,1734666953.309,8
Lag_Input_Topic,1734666954.309,15
Lag_Input_Topic,1734666955.309,22
Lag_Input_Topic,1734666956.309,29
Lag_Input_Topic,1734666957.309,1
Lag_Input_Topic,1734666958.309,8
Lag_Input_Topic,1734666959.309,15
Lag_Input_Topic,1734666960.309,22
Lag_Input_Topic,1734666961.309,29
Lag_Input_Topic,1734666962.309,1
Lag_Input_Topic,1734666963.309,8
Lag_Input_Topic,1734666964.309,15
Lag_Input_Topic,1734666965.309,22
Lag_Input_Topic,1734666966.309,29
Lag_Input_Topic,1734666967.309,0
Lag_Input_Topic,1734666968.309,8
Lag_Input_Topic,1734666969.309,15
Lag_Input_Topic,1734666970.309,21
Lag_Input_Topic,1734666971.309,7
Lag_Input_Topic,1734666972.309,14
Lag_Input_Topic,1734666973.309,21
Lag_Input_Topic,1734666974.309,28
Lag_Input_Topic,1734666975.309,35
Lag_Input_Topic,1734666976.309,7
Lag_Input_Topic,1734666977.309,13
Lag_Input_Topic,1734666978.309,21
Lag_Input_Topic,1734666979.309,28
Lag_Input_Topic,1734666980.309,34
Lag_Input_Topic,1734666981.309,7
Lag_Input_Topic,1734666982.309,13
Lag_Input_Topic,1734666983.309,21
Lag_Input_Topic,1734666984.309,27
Lag_Input_Topic,1734666985.309,35
Lag_Input_Topic,1734666986.309,6
Lag_Input_Topic,1734666987.309,14
Lag_Input_Topic,1734666988.309,21
Lag_Input_Topic,1734666989.309,28
Lag_Input_Topic,1734666990.309,35
Lag_Input_Topic,1734666991.309,42
Lag_Input_Topic,1734666992.309,49
Lag_Input_Topic,1734666993.309,56
Lag_Input_Topic,1734666994.309,62
Lag_Input_Topic,1734666994.436,62
Lag_Input_Topic,1734666995.436,69
Lag_Input_Topic,1734666996.436,77
Lag_Input_Topic,1734666997.436,83
Lag_Input_Topic,1734666998.436,90
Lag_Input_Topic,1734666999.436,97
Lag_Input_Topic,1734667000.436,104
Lag_Input_Topic,1734667001.436,111
Lag_Input_Topic,1734667002.436,118
Lag_Input_Topic,1734667003.436,125
Lag_Input_Topic,1734667004.436,132
Lag_Input_Topic,1734667005.436,139
Lag_Input_Topic,1734667006.436,147
Lag_Input_Topic,1734667007.436,153
Lag_Input_Topic,1734667008.436,160
Lag_Input_Topic,1734667009.436,167
Lag_Input_Topic,1734667010.436,174
Lag_Input_Topic,1734667011.436,182
Lag_Input_Topic,1734667012.436,189
Lag_Input_Topic,1734667013.436,196
Lag_Input_Topic,1734667014.436,202
Lag_Input_Topic,1734667015.436,209
Lag_Input_Topic,1734667016.436,217
Lag_Input_Topic,1734667017.436,223
Lag_Input_Topic,1734667018.436,230
Lag_Input_Topic,1734667019.436,238
Lag_Input_Topic,1734667020.436,245
Lag_Input_Topic,1734667021.436,251
Lag_Input_Topic,1734667022.436,258
Lag_Input_Topic,1734667023.436,266
Lag_Input_Topic,1734667024.436,266
Lag_Input_Topic,1734667024.482,273
Lag_Input_Topic,1734667025.482,279
Lag_Input_Topic,1734667026.482,287
Lag_Input_Topic,1734667027.482,293
Lag_Input_Topic,1734667028.482,301
Lag_Input_Topic,1734667029.482,307
Lag_Input_Topic,1734667030.482,314
Lag_Input_Topic,1734667031.482,324
Lag_Input_Topic,1734667033.482,329
Lag_Input_Topic,1734667034.482,342
Lag_Input_Topic,1734667035.482,350
Lag_Input_Topic,1734667037.482,357
Lag_Input_Topic,1734667038.482,370
Lag_Input_Topic,1734667040.482,0
Lag_Input_Topic,1734667041.482,14
Lag_Input_Topic,1734667042.482,21
Lag_Input_Topic,1734667043.482,27
Lag_Input_Topic,1734667044.482,0
Lag_Input_Topic,1734667045.482,6
Lag_Input_Topic,1734667046.482,13
Lag_Input_Topic,1734667047.482,20
Lag_Input_Topic,1734667048.482,27
Lag_Input_Topic,1734667049.482,34
Lag_Input_Topic,1734667050.482,6
Lag_Input_Topic,1734667051.482,13
Lag_Input_Topic,1734667052.482,20
Lag_Input_Topic,1734667053.482,27
Lag_Input_Topic,1734667054.482,27
Lag_Input_Topic,1734667054.553,0
Lag_Input_Topic,1734667055.553,6
Lag_Input_Topic,1734667056.553,13
Lag_Input_Topic,1734667057.553,20
Lag_Input_Topic,1734667058.553,27
Lag_Input_Topic,1734667059.553,0
Lag_Input_Topic,1734667060.553,6
Lag_Input_Topic,1734667061.553,13
Lag_Input_Topic,1734667062.553,20
Lag_Input_Topic,1734667063.553,27
Lag_Input_Topic,1734667064.553,34
Lag_Input_Topic,1734667065.553,3
Lag_Input_Topic,1734667066.553,10
Lag_Input_Topic,1734667067.553,17
Lag_Input_Topic,1734667068.553,24
Lag_Input_Topic,1734667069.553,31
Lag_Input_Topic,1734667070.553,6
Lag_Input_Topic,1734667071.553,13
Lag_Input_Topic,1734667072.553,20
Lag_Input_Topic,1734667073.553,27
Lag_Input_Topic,1734667074.553,0
Lag_Input_Topic,1734667075.553,6
Lag_Input_Topic,1734667076.553,13
Lag_Input_Topic,1734667077.553,20
Lag_Input_Topic,1734667078.553,27
Lag_Input_Topic,1734667079.553,34
Lag_Input_Topic,1734667080.553,6
Lag_Input_Topic,1734667081.553,13
Lag_Input_Topic,1734667082.553,20
Lag_Input_Topic,1734667083.553,27
Lag_Input_Topic,1734667084.553,34
Lag_Input_Topic,1734667084.62,34
Lag_Input_Topic,1734667085.62,6
Lag_Input_Topic,1734667086.62,13
Lag_Input_Topic,1734667087.62,20
Lag_Input_Topic,1734667088.62,27
Lag_Input_Topic,1734667089.62,34
Lag_Input_Topic,1734667090.62,6
Lag_Input_Topic,1734667091.62,13
Lag_Input_Topic,1734667092.62,20
Lag_Input_Topic,1734667093.62,27
Lag_Input_Topic,1734667094.62,34
Lag_Input_Topic,1734667095.62,6
Lag_Input_Topic,1734667096.62,13
Lag_Input_Topic,1734667097.62,20
Lag_Input_Topic,1734667098.62,27
Lag_Input_Topic,1734667099.62,34
Lag_Input_Topic,1734667100.62,6
Lag_Input_Topic,1734667101.62,13
Lag_Input_Topic,1734667102.62,20
Lag_Input_Topic,1734667103.62,27
Lag_Input_Topic,1734667104.62,34
Lag_Input_Topic,1734667105.62,6
Lag_Input_Topic,1734667106.62,13
Lag_Input_Topic,1734667107.62,21
Lag_Input_Topic,1734667108.62,27
Lag_Input_Topic,1734667109.62,34
Lag_Input_Topic,1734667110.62,7
Lag_Input_Topic,1734667111.62,13
Lag_Input_Topic,1734667112.62,20
Lag_Input_Topic,1734667113.62,27
Lag_Input_Topic,1734667114.62,34
Lag_Input_Topic,1734667114.668,34
Lag_Input_Topic,1734667115.668,41
Lag_Input_Topic,1734667116.668,48
Lag_Input_Topic,1734667117.668,55
Lag_Input_Topic,1734667118.668,62
Lag_Input_Topic,1734667119.668,69
Lag_Input_Topic,1734667120.668,76
Lag_Input_Topic,1734667121.668,83
Lag_Input_Topic,1734667122.668,90
Lag_Input_Topic,1734667123.668,97
Lag_Input_Topic,1734667124.668,104
Lag_Input_Topic,1734667125.668,111
Lag_Input_Topic,1734667126.668,118
Lag_Input_Topic,1734667127.668,125
Lag_Input_Topic,1734667128.668,132
Lag_Input_Topic,1734667129.668,139
Lag_Input_Topic,1734667130.668,146
Lag_Input_Topic,1734667131.668,153
Lag_Input_Topic,1734667132.668,160
Lag_Input_Topic,1734667133.668,167
Lag_Input_Topic,1734667134.668,174
Lag_Input_Topic,1734667135.668,181
Lag_Input_Topic,1734667136.668,188
Lag_Input_Topic,1734667137.668,195
Lag_Input_Topic,1734667138.668,202
Lag_Input_Topic,1734667139.668,209
Lag_Input_Topic,1734667140.668,216
Lag_Input_Topic,1734667141.668,223
Lag_Input_Topic,1734667142.668,230
Lag_Input_Topic,1734667143.668,237
Lag_Input_Topic,1734667144.668,244
Lag_Input_Topic,1734667144.714,244
Lag_Input_Topic,1734667145.714,251
Lag_Input_Topic,1734667146.714,258
Lag_Input_Topic,1734667147.714,265
Lag_Input_Topic,1734667148.714,272
Lag_Input_Topic,1734667149.714,279
Lag_Input_Topic,1734667150.714,286
Lag_Input_Topic,1734667151.714,293
Lag_Input_Topic,1734667152.714,300
Lag_Input_Topic,1734667153.714,307
Lag_Input_Topic,1734667154.714,314
Lag_Input_Topic,1734667155.714,321
Lag_Input_Topic,1734667156.714,328
Lag_Input_Topic,1734667157.714,335
Lag_Input_Topic,1734667158.714,342
Lag_Input_Topic,1734667159.714,349
Lag_Input_Topic,1734667160.714,356
Lag_Input_Topic,1734667161.714,363
Lag_Input_Topic,1734667162.714,370
