Metric,Time,Value
Lag_Input_Topic,1734617695.212,160173
Lag_Input_Topic,1734617696.212,160201
Lag_Input_Topic,1734617698.212,160202
Lag_Input_Topic,1734617699.212,160215
Lag_Input_Topic,1734617701.212,160222
Lag_Input_Topic,1734617703.212,160237
Lag_Input_Topic,1734617705.212,160250
Lag_Input_Topic,1734617707.212,160264
Lag_Input_Topic,1734617709.212,160278
Lag_Input_Topic,1734617711.212,160292
Lag_Input_Topic,1734617713.212,160312
Lag_Input_Topic,1734617714.212,160320
Lag_Input_Topic,1734617716.212,160327
Lag_Input_Topic,1734617719.212,160341
Lag_Input_Topic,1734617721.212,160369
Lag_Input_Topic,1734617723.212,190196
Lag_Input_Topic,1734617724.212,190210
Lag_Input_Topic,1734617726.212,190217
Lag_Input_Topic,1734617831.212,49
Lag_Input_Topic,1734617837.212,226
Lag_Input_Topic,1734617840.212,233
Lag_Input_Topic,1734617843.212,254
Lag_Input_Topic,1734617844.212,254
Lag_Input_Topic,1734617847.338,289
Lag_Input_Topic,1734617850.338,303
Lag_Input_Topic,1734617853.338,324
Lag_Input_Topic,1734617855.338,345
Lag_Input_Topic,1734617856.338,359
Lag_Input_Topic,1734617859.338,380
Lag_Input_Topic,1734617861.338,387
Lag_Input_Topic,1734617863.338,401
Lag_Input_Topic,1734617865.338,100345
Lag_Input_Topic,1734617868.338,269676
Lag_Input_Topic,1734617870.338,240029
Lag_Input_Topic,1734617872.338,240036
Lag_Input_Topic,1734617874.439,240051
Lag_Input_Topic,1734617875.439,229411
Lag_Input_Topic,1734617877.439,211023
Lag_Input_Topic,1734617879.439,211037
Lag_Input_Topic,1734617882.439,199917
Lag_Input_Topic,1734617884.439,180996
Lag_Input_Topic,1734617888.439,169897
Lag_Input_Topic,1734617890.439,160312
Lag_Input_Topic,1734617892.439,152237
Lag_Input_Topic,1734617894.439,141003
Lag_Input_Topic,1734617896.439,127433
Lag_Input_Topic,1734617899.439,123454
Lag_Input_Topic,1734617901.439,101232
Lag_Input_Topic,1734617903.439,101245
Lag_Input_Topic,1734617904.439,101245
Lag_Input_Topic,1734617905.598,93260
Lag_Input_Topic,1734617906.598,77887
Lag_Input_Topic,1734617908.598,73311
Lag_Input_Topic,1734617911.598,61215
Lag_Input_Topic,1734617912.598,61229
Lag_Input_Topic,1734617914.598,61236
Lag_Input_Topic,1734617916.598,61250
Lag_Input_Topic,1734617918.598,61264
Lag_Input_Topic,1734617920.598,61285
Lag_Input_Topic,1734617921.598,61292
Lag_Input_Topic,1734617922.598,61299
Lag_Input_Topic,1734617923.598,61306
Lag_Input_Topic,1734617924.598,61313
Lag_Input_Topic,1734617925.598,61320
Lag_Input_Topic,1734617926.598,61327
Lag_Input_Topic,1734617927.598,61334
Lag_Input_Topic,1734617928.598,61341
Lag_Input_Topic,1734617929.598,61348
Lag_Input_Topic,1734617930.598,61355
Lag_Input_Topic,1734617931.598,61362
Lag_Input_Topic,1734617932.598,61369
Lag_Input_Topic,1734617933.598,61376
Lag_Input_Topic,1734617934.598,61376
Lag_Input_Topic,1734617934.686,61383
Lag_Input_Topic,1734617935.686,61390
Lag_Input_Topic,1734617936.686,61397
Lag_Input_Topic,1734617937.686,61404
Lag_Input_Topic,1734617938.686,61411
Lag_Input_Topic,1734617939.686,61418
Lag_Input_Topic,1734617940.686,61425
Lag_Input_Topic,1734617941.686,61432
Lag_Input_Topic,1734617942.686,61439
Lag_Input_Topic,1734617943.686,61446
Lag_Input_Topic,1734617944.686,61453
Lag_Input_Topic,1734617945.686,61460
Lag_Input_Topic,1734617946.686,61474
Lag_Input_Topic,1734617947.686,61474
Lag_Input_Topic,1734617948.686,61481
Lag_Input_Topic,1734617949.686,61488
Lag_Input_Topic,1734617951.686,61495
Lag_Input_Topic,1734617953.686,61509
Lag_Input_Topic,1734617955.686,61523
Lag_Input_Topic,1734617957.686,61537
Lag_Input_Topic,1734617959.686,61551
Lag_Input_Topic,1734617961.686,86100
Lag_Input_Topic,1734617962.686,194537
Lag_Input_Topic,1734617963.686,194551
Lag_Input_Topic,1734617964.686,194551
Lag_Input_Topic,1734617964.755,194551
Lag_Input_Topic,1734617965.755,238528
Lag_Input_Topic,1734617967.755,247028
Lag_Input_Topic,1734617968.755,243401
Lag_Input_Topic,1734617969.755,238842
Lag_Input_Topic,1734617970.755,233222
Lag_Input_Topic,1734617971.755,227146
Lag_Input_Topic,1734617972.755,227153
Lag_Input_Topic,1734617973.755,197837
Lag_Input_Topic,1734617974.755,197844
Lag_Input_Topic,1734617975.755,192750
Lag_Input_Topic,1734617976.755,180857
Lag_Input_Topic,1734617977.755,180864
Lag_Input_Topic,1734617978.755,152266
Lag_Input_Topic,1734617979.755,145562
Lag_Input_Topic,1734617980.755,139453
Lag_Input_Topic,1734617981.755,134662
Lag_Input_Topic,1734617982.755,128552
Lag_Input_Topic,1734617983.755,108750
Lag_Input_Topic,1734617984.755,101352
Lag_Input_Topic,1734617985.755,101359
Lag_Input_Topic,1734617986.755,101366
Lag_Input_Topic,1734617987.755,93209
Lag_Input_Topic,1734617988.755,93216
Lag_Input_Topic,1734617989.755,53171
Lag_Input_Topic,1734617990.755,53178
Lag_Input_Topic,1734617991.755,53185
Lag_Input_Topic,1734617992.755,53192
Lag_Input_Topic,1734617993.755,39567
Lag_Input_Topic,1734617994.755,4208
Lag_Input_Topic,1734617994.799,4208
Lag_Input_Topic,1734617995.799,4215
Lag_Input_Topic,1734617996.799,4222
Lag_Input_Topic,1734617997.799,4229
Lag_Input_Topic,1734617998.799,4236
Lag_Input_Topic,1734617999.799,5
Lag_Input_Topic,1734618000.799,12
Lag_Input_Topic,1734618001.799,19
Lag_Input_Topic,1734618002.799,26
Lag_Input_Topic,1734618003.799,33
Lag_Input_Topic,1734618004.799,3
Lag_Input_Topic,1734618005.799,10
Lag_Input_Topic,1734618006.799,17
Lag_Input_Topic,1734618007.799,24
Lag_Input_Topic,1734618008.799,31
Lag_Input_Topic,1734618009.799,7
Lag_Input_Topic,1734618010.799,14
Lag_Input_Topic,1734618011.799,21
Lag_Input_Topic,1734618012.799,28
Lag_Input_Topic,1734618013.799,35
Lag_Input_Topic,1734618014.799,7
Lag_Input_Topic,1734618015.799,7
Lag_Input_Topic,1734618016.799,14
Lag_Input_Topic,1734618017.799,21
Lag_Input_Topic,1734618018.799,28
Lag_Input_Topic,1734618019.799,35
Lag_Input_Topic,1734618020.799,7
Lag_Input_Topic,1734618021.799,14
Lag_Input_Topic,1734618022.799,21
Lag_Input_Topic,1734618023.799,28
Lag_Input_Topic,1734618024.799,35
Lag_Input_Topic,1734618024.851,35
Lag_Input_Topic,1734618025.851,7
Lag_Input_Topic,1734618026.851,14
Lag_Input_Topic,1734618027.851,21
Lag_Input_Topic,1734618028.851,28
Lag_Input_Topic,1734618029.851,35
Lag_Input_Topic,1734618030.851,7
Lag_Input_Topic,1734618031.851,14
Lag_Input_Topic,1734618032.851,21
Lag_Input_Topic,1734618033.851,28
Lag_Input_Topic,1734618034.851,35
Lag_Input_Topic,1734618035.851,42
Lag_Input_Topic,1734618036.851,49
Lag_Input_Topic,1734618037.851,56
Lag_Input_Topic,1734618038.851,63
Lag_Input_Topic,1734618039.851,70
Lag_Input_Topic,1734618040.851,77
Lag_Input_Topic,1734618041.851,84
Lag_Input_Topic,1734618042.851,91
Lag_Input_Topic,1734618043.851,98
Lag_Input_Topic,1734618044.851,105
Lag_Input_Topic,1734618045.851,112
Lag_Input_Topic,1734618046.851,119
Lag_Input_Topic,1734618047.851,126
Lag_Input_Topic,1734618048.851,133
Lag_Input_Topic,1734618049.851,140
Lag_Input_Topic,1734618050.851,147
Lag_Input_Topic,1734618051.851,154
Lag_Input_Topic,1734618052.851,161
Lag_Input_Topic,1734618053.851,168
Lag_Input_Topic,1734618054.851,175
Lag_Input_Topic,1734618054.894,175
Lag_Input_Topic,1734618055.894,182
Lag_Input_Topic,1734618056.894,189
Lag_Input_Topic,1734618057.894,196
Lag_Input_Topic,1734618058.894,203
Lag_Input_Topic,1734618059.894,210
Lag_Input_Topic,1734618060.894,217
Lag_Input_Topic,1734618061.894,224
Lag_Input_Topic,1734618062.894,231
Lag_Input_Topic,1734618063.894,238
Lag_Input_Topic,1734618064.894,245
Lag_Input_Topic,1734618065.894,252
Lag_Input_Topic,1734618066.894,259
Lag_Input_Topic,1734618067.894,266
