Metric,Time,Value
Lag_Input_Topic,1734616610.055,128587
Lag_Input_Topic,1734616612.055,128587
Lag_Input_Topic,1734616613.055,128587
Lag_Input_Topic,1734616614.055,128587
Lag_Input_Topic,1734616616.055,128587
Lag_Input_Topic,1734616618.055,128587
Lag_Input_Topic,1734616620.055,128587
Lag_Input_Topic,1734616622.055,128587
Lag_Input_Topic,1734616624.055,128587
Lag_Input_Topic,1734616625.055,128587
Lag_Input_Topic,1734616627.055,128608
Lag_Input_Topic,1734616629.055,128622
Lag_Input_Topic,1734616631.055,128640
Lag_Input_Topic,1734616634.055,147196
Lag_Input_Topic,1734616636.055,230317
Lag_Input_Topic,1734616638.055,257591
Lag_Input_Topic,1734616640.055,246573
Lag_Input_Topic,1734616642.055,243947
Lag_Input_Topic,1734616644.055,234965
Lag_Input_Topic,1734616646.055,229979
Lag_Input_Topic,1734616649.055,224995
Lag_Input_Topic,1734616651.055,216361
Lag_Input_Topic,1734616653.055,214781
Lag_Input_Topic,1734616655.055,211683
Lag_Input_Topic,1734616656.055,197396
Lag_Input_Topic,1734616666.055,145681
Lag_Input_Topic,1734616668.055,145695
Lag_Input_Topic,1734616671.055,145709
Lag_Input_Topic,1734616673.055,145737
Lag_Input_Topic,1734616694.055,0
Lag_Input_Topic,1734616697.055,28
Lag_Input_Topic,1734616698.055,7
Lag_Input_Topic,1734616700.055,27713
Lag_Input_Topic,1734616702.055,33475
Lag_Input_Topic,1734616704.055,25820
Lag_Input_Topic,1734616706.055,25834
Lag_Input_Topic,1734616708.055,13692
Lag_Input_Topic,1734616709.055,14
Lag_Input_Topic,1734616710.055,21
Lag_Input_Topic,1734616712.055,28
Lag_Input_Topic,1734616714.055,42
Lag_Input_Topic,1734616715.055,56
Lag_Input_Topic,1734616716.055,63
Lag_Input_Topic,1734616718.055,77
Lag_Input_Topic,1734616720.055,84
Lag_Input_Topic,1734616721.055,98
Lag_Input_Topic,1734616723.055,105
Lag_Input_Topic,1734616724.055,119
Lag_Input_Topic,1734616725.055,126
Lag_Input_Topic,1734616727.055,133
Lag_Input_Topic,1734616728.055,147
Lag_Input_Topic,1734616729.055,154
Lag_Input_Topic,1734616730.055,161
Lag_Input_Topic,1734616731.055,168
Lag_Input_Topic,1734616732.055,175
Lag_Input_Topic,1734616733.055,182
Lag_Input_Topic,1734616734.055,189
Lag_Input_Topic,1734616735.055,196
Lag_Input_Topic,1734616736.055,203
Lag_Input_Topic,1734616737.055,210
Lag_Input_Topic,1734616738.055,217
Lag_Input_Topic,1734616739.055,224
Lag_Input_Topic,1734616740.055,231
Lag_Input_Topic,1734616741.055,238
Lag_Input_Topic,1734616742.055,245
Lag_Input_Topic,1734616743.055,252
Lag_Input_Topic,1734616744.055,258
Lag_Input_Topic,1734616745.055,266
Lag_Input_Topic,1734616746.055,272
Lag_Input_Topic,1734616747.055,280
Lag_Input_Topic,1734616748.055,287
Lag_Input_Topic,1734616749.055,293
Lag_Input_Topic,1734616750.055,301
Lag_Input_Topic,1734616751.055,307
Lag_Input_Topic,1734616752.055,315
Lag_Input_Topic,1734616753.055,322
Lag_Input_Topic,1734616754.055,329
Lag_Input_Topic,1734616756.055,336
Lag_Input_Topic,1734616758.055,350
Lag_Input_Topic,1734616760.055,364
Lag_Input_Topic,1734616760.182,364
Lag_Input_Topic,1734616761.182,378
Lag_Input_Topic,1734616764.182,385
Lag_Input_Topic,1734616766.182,19034
Lag_Input_Topic,1734616769.182,264480
Lag_Input_Topic,1734616771.182,252078
Lag_Input_Topic,1734616772.182,236833
Lag_Input_Topic,1734616773.182,236840
Lag_Input_Topic,1734616775.182,236847
Lag_Input_Topic,1734616776.182,222396
Lag_Input_Topic,1734616777.182,218399
Lag_Input_Topic,1734616778.182,206221
Lag_Input_Topic,1734616779.182,206229
Lag_Input_Topic,1734616780.182,206234
Lag_Input_Topic,1734616781.182,201743
Lag_Input_Topic,1734616782.182,194250
Lag_Input_Topic,1734616783.182,182117
Lag_Input_Topic,1734616784.182,177123
Lag_Input_Topic,1734616785.182,173035
Lag_Input_Topic,1734616786.182,173041
Lag_Input_Topic,1734616787.182,168929
Lag_Input_Topic,1734616788.182,150216
Lag_Input_Topic,1734616789.182,145104
Lag_Input_Topic,1734616790.182,139995
Lag_Input_Topic,1734616790.264,139995
Lag_Input_Topic,1734616791.264,135007
Lag_Input_Topic,1734616792.264,132099
Lag_Input_Topic,1734616793.264,120417
Lag_Input_Topic,1734616794.264,107895
Lag_Input_Topic,1734616795.264,104405
Lag_Input_Topic,1734616796.264,88317
Lag_Input_Topic,1734616797.264,88324
Lag_Input_Topic,1734616798.264,80249
Lag_Input_Topic,1734616799.264,54054
Lag_Input_Topic,1734616800.264,54059
Lag_Input_Topic,1734616801.264,51201
Lag_Input_Topic,1734616803.264,41660
Lag_Input_Topic,1734616804.264,17523
Lag_Input_Topic,1734616806.264,17523
Lag_Input_Topic,1734616808.264,6299
Lag_Input_Topic,1734616809.264,2843
Lag_Input_Topic,1734616810.264,2843
Lag_Input_Topic,1734616811.264,2857
Lag_Input_Topic,1734616812.264,14
Lag_Input_Topic,1734616813.264,22
Lag_Input_Topic,1734616814.264,0
Lag_Input_Topic,1734616815.264,1
Lag_Input_Topic,1734616816.264,8
Lag_Input_Topic,1734616817.264,15
Lag_Input_Topic,1734616818.264,22
Lag_Input_Topic,1734616819.264,1
Lag_Input_Topic,1734616820.264,1
Lag_Input_Topic,1734616820.31,1
