Metric,Time,Value
Lag_Input_Topic,1734659700.851,7
Lag_Input_Topic,1734659701.851,7
Lag_Input_Topic,1734659702.851,7
Lag_Input_Topic,1734659703.851,7
Lag_Input_Topic,1734659704.851,7
Lag_Input_Topic,1734659705.851,7
Lag_Input_Topic,1734659706.851,7
Lag_Input_Topic,1734659707.851,7
Lag_Input_Topic,1734659708.851,7
Lag_Input_Topic,1734659709.851,7
Lag_Input_Topic,1734659710.851,7
Lag_Input_Topic,1734659711.851,7
Lag_Input_Topic,1734659712.851,7
Lag_Input_Topic,1734659713.851,7
Lag_Input_Topic,1734659714.851,7
Lag_Input_Topic,1734659715.851,7
Lag_Input_Topic,1734659716.851,7
Lag_Input_Topic,1734659717.851,7
Lag_Input_Topic,1734659718.851,7
Lag_Input_Topic,1734659719.851,7
Lag_Input_Topic,1734659720.851,7
Lag_Input_Topic,1734659721.851,7
Lag_Input_Topic,1734659722.851,7
Lag_Input_Topic,1734659723.851,7
Lag_Input_Topic,1734659724.851,7
Lag_Input_Topic,1734659725.851,7
Lag_Input_Topic,1734659726.851,7
Lag_Input_Topic,1734659727.851,7
Lag_Input_Topic,1734659728.851,7
Lag_Input_Topic,1734659729.851,7
Lag_Input_Topic,1734659730.851,7
Lag_Input_Topic,1734659731.851,7
Lag_Input_Topic,1734659732.851,7
Lag_Input_Topic,1734659733.851,7
Lag_Input_Topic,1734659734.851,7
Lag_Input_Topic,1734659735.851,7
Lag_Input_Topic,1734659736.851,7
Lag_Input_Topic,1734659737.851,7
Lag_Input_Topic,1734659738.851,7
Lag_Input_Topic,1734659739.851,7
Lag_Input_Topic,1734659740.851,7
Lag_Input_Topic,1734659741.851,7
Lag_Input_Topic,1734659742.851,7
Lag_Input_Topic,1734659743.851,7
Lag_Input_Topic,1734659744.851,7
Lag_Input_Topic,1734659745.851,7
Lag_Input_Topic,1734659746.851,7
Lag_Input_Topic,1734659747.851,7
Lag_Input_Topic,1734659748.851,7
Lag_Input_Topic,1734659749.851,21
Lag_Input_Topic,1734659750.851,28
Lag_Input_Topic,1734659751.851,0
Lag_Input_Topic,1734659752.851,7
Lag_Input_Topic,1734659753.851,14
Lag_Input_Topic,1734659754.851,21
Lag_Input_Topic,1734659755.851,28
Lag_Input_Topic,1734659756.851,0
Lag_Input_Topic,1734659757.851,7
Lag_Input_Topic,1734659758.851,14
Lag_Input_Topic,1734659759.851,21
Lag_Input_Topic,1734659760.851,28
Lag_Input_Topic,1734659761.851,3
Lag_Input_Topic,1734659762.851,7
Lag_Input_Topic,1734659763.851,15
Lag_Input_Topic,1734659764.851,21
Lag_Input_Topic,1734659765.851,28
Lag_Input_Topic,1734659766.851,5
Lag_Input_Topic,1734659767.851,8
Lag_Input_Topic,1734659769.851,17
Lag_Input_Topic,1734659770.851,28
Lag_Input_Topic,1734659771.851,0
Lag_Input_Topic,1734659772.851,8
Lag_Input_Topic,1734659773.851,14
Lag_Input_Topic,1734659774.851,23
Lag_Input_Topic,1734659775.851,32
Lag_Input_Topic,1734659776.851,0
Lag_Input_Topic,1734659777.851,8
Lag_Input_Topic,1734659778.851,14
Lag_Input_Topic,1734659779.851,21
Lag_Input_Topic,1734659780.851,28
Lag_Input_Topic,1734659781.851,1
Lag_Input_Topic,1734659782.851,7
Lag_Input_Topic,1734659783.851,14
Lag_Input_Topic,1734659784.851,21
Lag_Input_Topic,1734659785.851,28
Lag_Input_Topic,1734659786.851,0
Lag_Input_Topic,1734659787.851,14
Lag_Input_Topic,1734659788.851,14
Lag_Input_Topic,1734659789.851,21
Lag_Input_Topic,1734659790.851,28
Lag_Input_Topic,1734659791.851,35
Lag_Input_Topic,1734659792.851,42
Lag_Input_Topic,1734659793.851,49
Lag_Input_Topic,1734659794.851,56
Lag_Input_Topic,1734659795.851,66
Lag_Input_Topic,1734659796.851,71
Lag_Input_Topic,1734659797.851,82
Lag_Input_Topic,1734659798.851,87
Lag_Input_Topic,1734659799.851,96
Lag_Input_Topic,1734659800.851,98
Lag_Input_Topic,1734659801.851,106
Lag_Input_Topic,1734659802.851,117
Lag_Input_Topic,1734659803.851,120
Lag_Input_Topic,1734659804.851,126
Lag_Input_Topic,1734659805.851,140
Lag_Input_Topic,1734659806.851,141
Lag_Input_Topic,1734659807.851,148
Lag_Input_Topic,1734659808.851,159
Lag_Input_Topic,1734659809.851,163
Lag_Input_Topic,1734659810.851,169
Lag_Input_Topic,1734659811.851,182
Lag_Input_Topic,1734659812.851,189
Lag_Input_Topic,1734659813.851,189
Lag_Input_Topic,1734659814.851,197
Lag_Input_Topic,1734659815.851,206
Lag_Input_Topic,1734659816.851,211
Lag_Input_Topic,1734659818.851,219
Lag_Input_Topic,1734659819.851,238
Lag_Input_Topic,1734659821.851,245
Lag_Input_Topic,1734659822.851,253
Lag_Input_Topic,1734659824.851,260
Lag_Input_Topic,1734659825.851,273
Lag_Input_Topic,1734659826.851,0
Lag_Input_Topic,1734659827.851,7
Lag_Input_Topic,1734659828.851,14
Lag_Input_Topic,1734659829.851,21
Lag_Input_Topic,1734659830.851,28
Lag_Input_Topic,1734659831.851,0
Lag_Input_Topic,1734659832.851,7
Lag_Input_Topic,1734659833.851,14
Lag_Input_Topic,1734659834.851,21
Lag_Input_Topic,1734659835.851,28
Lag_Input_Topic,1734659836.851,0
Lag_Input_Topic,1734659837.851,7
Lag_Input_Topic,1734659838.851,14
Lag_Input_Topic,1734659839.851,21
Lag_Input_Topic,1734659840.851,28
Lag_Input_Topic,1734659841.851,0
Lag_Input_Topic,1734659842.851,7
Lag_Input_Topic,1734659843.851,14
Lag_Input_Topic,1734659844.851,21
Lag_Input_Topic,1734659845.851,20
Lag_Input_Topic,1734659846.851,13
Lag_Input_Topic,1734659847.851,20
Lag_Input_Topic,1734659848.851,27
Lag_Input_Topic,1734659849.851,34
Lag_Input_Topic,1734659850.851,6
Lag_Input_Topic,1734659850.978,6
Lag_Input_Topic,1734659851.978,13
Lag_Input_Topic,1734659852.978,20
Lag_Input_Topic,1734659853.978,27
Lag_Input_Topic,1734659854.978,34
Lag_Input_Topic,1734659855.978,6
Lag_Input_Topic,1734659856.978,13
Lag_Input_Topic,1734659857.978,20
Lag_Input_Topic,1734659858.978,27
Lag_Input_Topic,1734659859.978,0
Lag_Input_Topic,1734659860.978,6
Lag_Input_Topic,1734659861.978,13
Lag_Input_Topic,1734659862.978,20
Lag_Input_Topic,1734659863.978,27
Lag_Input_Topic,1734659864.978,34
Lag_Input_Topic,1734659865.978,0
Lag_Input_Topic,1734659866.978,7
Lag_Input_Topic,1734659867.978,14
Lag_Input_Topic,1734659868.978,21
Lag_Input_Topic,1734659869.978,28
Lag_Input_Topic,1734659870.978,6
Lag_Input_Topic,1734659871.978,13
Lag_Input_Topic,1734659872.978,20
Lag_Input_Topic,1734659873.978,27
Lag_Input_Topic,1734659874.978,34
Lag_Input_Topic,1734659875.978,6
Lag_Input_Topic,1734659876.978,13
Lag_Input_Topic,1734659877.978,20
Lag_Input_Topic,1734659878.978,27
Lag_Input_Topic,1734659879.978,34
Lag_Input_Topic,1734659880.978,6
Lag_Input_Topic,1734659881.03,6
Lag_Input_Topic,1734659882.03,13
Lag_Input_Topic,1734659883.03,20
Lag_Input_Topic,1734659884.03,27
Lag_Input_Topic,1734659885.03,34
Lag_Input_Topic,1734659886.03,0
Lag_Input_Topic,1734659887.03,7
Lag_Input_Topic,1734659888.03,14
Lag_Input_Topic,1734659889.03,21
Lag_Input_Topic,1734659890.03,28
Lag_Input_Topic,1734659891.03,7
Lag_Input_Topic,1734659892.03,14
Lag_Input_Topic,1734659893.03,20
Lag_Input_Topic,1734659894.03,27
Lag_Input_Topic,1734659895.03,34
Lag_Input_Topic,1734659896.03,6
Lag_Input_Topic,1734659897.03,13
Lag_Input_Topic,1734659898.03,20
Lag_Input_Topic,1734659899.03,27
Lag_Input_Topic,1734659900.03,34
Lag_Input_Topic,1734659901.03,0
Lag_Input_Topic,1734659902.03,7
Lag_Input_Topic,1734659903.03,14
Lag_Input_Topic,1734659904.03,21
Lag_Input_Topic,1734659905.03,28
Lag_Input_Topic,1734659906.03,0
Lag_Input_Topic,1734659907.03,7
Lag_Input_Topic,1734659908.03,14
Lag_Input_Topic,1734659909.03,21
Lag_Input_Topic,1734659910.03,28
Lag_Input_Topic,1734659911.03,0
Lag_Input_Topic,1734659911.071,0
Lag_Input_Topic,1734659912.071,7
Lag_Input_Topic,1734659913.071,14
Lag_Input_Topic,1734659914.071,21
Lag_Input_Topic,1734659915.071,28
Lag_Input_Topic,1734659916.071,35
Lag_Input_Topic,1734659917.071,42
Lag_Input_Topic,1734659918.071,49
Lag_Input_Topic,1734659919.071,56
Lag_Input_Topic,1734659920.071,63
Lag_Input_Topic,1734659921.071,70
Lag_Input_Topic,1734659922.071,77
Lag_Input_Topic,1734659923.071,84
Lag_Input_Topic,1734659924.071,91
Lag_Input_Topic,1734659925.071,98
Lag_Input_Topic,1734659926.071,105
Lag_Input_Topic,1734659927.071,112
Lag_Input_Topic,1734659928.071,119
Lag_Input_Topic,1734659929.071,126
Lag_Input_Topic,1734659930.071,133
Lag_Input_Topic,1734659931.071,140
Lag_Input_Topic,1734659932.071,147
Lag_Input_Topic,1734659933.071,154
Lag_Input_Topic,1734659934.071,161
Lag_Input_Topic,1734659935.071,168
Lag_Input_Topic,1734659936.071,175
Lag_Input_Topic,1734659937.071,182
Lag_Input_Topic,1734659938.071,189
Lag_Input_Topic,1734659939.071,196
Lag_Input_Topic,1734659940.071,203
Lag_Input_Topic,1734659941.071,210
Lag_Input_Topic,1734659941.158,219
Lag_Input_Topic,1734659942.158,224
Lag_Input_Topic,1734659943.158,231
Lag_Input_Topic,1734659944.158,238
Lag_Input_Topic,1734659945.158,245
Lag_Input_Topic,1734659946.158,252
Lag_Input_Topic,1734659947.158,264
Lag_Input_Topic,1734659949.158,267
Lag_Input_Topic,1734659950.158,287
Lag_Input_Topic,1734659952.158,292
Lag_Input_Topic,1734659954.158,301
Lag_Input_Topic,1734659955.158,316
Lag_Input_Topic,1734659956.158,322
Lag_Input_Topic,1734659957.158,105
Lag_Input_Topic,1734659958.158,7
Lag_Input_Topic,1734659959.158,14
Lag_Input_Topic,1734659960.158,21
Lag_Input_Topic,1734659961.158,28
Lag_Input_Topic,1734659962.158,0
Lag_Input_Topic,1734659963.158,7
Lag_Input_Topic,1734659964.158,14
Lag_Input_Topic,1734659965.158,21
Lag_Input_Topic,1734659966.158,28
Lag_Input_Topic,1734659967.158,0
Lag_Input_Topic,1734659968.158,7
Lag_Input_Topic,1734659969.158,14
Lag_Input_Topic,1734659970.158,21
Lag_Input_Topic,1734659971.158,28
Lag_Input_Topic,1734659971.214,28
Lag_Input_Topic,1734659972.214,0
Lag_Input_Topic,1734659973.214,7
Lag_Input_Topic,1734659974.214,14
Lag_Input_Topic,1734659975.214,21
Lag_Input_Topic,1734659976.214,28
Lag_Input_Topic,1734659977.214,0
Lag_Input_Topic,1734659978.214,7
Lag_Input_Topic,1734659979.214,14
Lag_Input_Topic,1734659980.214,21
Lag_Input_Topic,1734659981.214,28
Lag_Input_Topic,1734659982.214,0
Lag_Input_Topic,1734659983.214,7
Lag_Input_Topic,1734659984.214,14
Lag_Input_Topic,1734659985.214,21
Lag_Input_Topic,1734659986.214,28
Lag_Input_Topic,1734659987.214,0
Lag_Input_Topic,1734659988.214,7
Lag_Input_Topic,1734659989.214,14
Lag_Input_Topic,1734659990.214,21
Lag_Input_Topic,1734659991.214,28
Lag_Input_Topic,1734659992.214,0
Lag_Input_Topic,1734659993.214,7
Lag_Input_Topic,1734659994.214,14
Lag_Input_Topic,1734659995.214,21
Lag_Input_Topic,1734659996.214,28
Lag_Input_Topic,1734659997.214,0
