Metric,Time,Value
Lag_Input_Topic,1734616088.417,155727
Lag_Input_Topic,1734616090.417,134912
Lag_Input_Topic,1734616092.417,131919
Lag_Input_Topic,1734616094.417,130964
Lag_Input_Topic,1734616096.417,115910
Lag_Input_Topic,1734616098.417,107924
Lag_Input_Topic,1734616100.417,104323
Lag_Input_Topic,1734616102.417,84075
Lag_Input_Topic,1734616104.417,84082
Lag_Input_Topic,1734616106.417,78383
Lag_Input_Topic,1734616108.417,59242
Lag_Input_Topic,1734616109.417,59249
Lag_Input_Topic,1734616111.417,59254
Lag_Input_Topic,1734616113.417,59270
Lag_Input_Topic,1734616114.417,59282
Lag_Input_Topic,1734616115.417,59289
Lag_Input_Topic,1734616117.417,59298
Lag_Input_Topic,1734616118.417,59312
Lag_Input_Topic,1734616119.417,59317
Lag_Input_Topic,1734616121.417,59327
Lag_Input_Topic,1734616122.417,59337
Lag_Input_Topic,1734616123.417,59343
Lag_Input_Topic,1734616125.417,59355
Lag_Input_Topic,1734616126.417,59364
Lag_Input_Topic,1734616127.417,59372
Lag_Input_Topic,1734616128.417,59376
Lag_Input_Topic,1734616129.417,59386
Lag_Input_Topic,1734616130.417,59394
Lag_Input_Topic,1734616131.417,59401
Lag_Input_Topic,1734616132.417,59408
Lag_Input_Topic,1734616134.417,59415
Lag_Input_Topic,1734616136.417,59429
Lag_Input_Topic,1734616137.417,59445
Lag_Input_Topic,1734616138.417,59449
Lag_Input_Topic,1734616140.417,59457
Lag_Input_Topic,1734616141.417,59473
Lag_Input_Topic,1734616142.417,59478
Lag_Input_Topic,1734616143.417,59485
Lag_Input_Topic,1734616145.417,59494
Lag_Input_Topic,1734616146.417,59506
Lag_Input_Topic,1734616147.417,59512
Lag_Input_Topic,1734616148.417,59520
Lag_Input_Topic,1734616150.417,59526
Lag_Input_Topic,1734616152.417,189257
Lag_Input_Topic,1734616153.417,234479
Lag_Input_Topic,1734616154.417,261065
Lag_Input_Topic,1734616158.417,230910
Lag_Input_Topic,1734616160.417,230927
Lag_Input_Topic,1734616161.417,220789
Lag_Input_Topic,1734616163.417,206984
Lag_Input_Topic,1734616165.417,202914
Lag_Input_Topic,1734616166.417,199431
Lag_Input_Topic,1734616168.417,186825
Lag_Input_Topic,1734616170.417,171109
Lag_Input_Topic,1734616171.417,171126
Lag_Input_Topic,1734616172.417,163036
Lag_Input_Topic,1734616173.417,153903
Lag_Input_Topic,1734616174.417,135493
Lag_Input_Topic,1734616175.417,135500
Lag_Input_Topic,1734616176.417,135507
Lag_Input_Topic,1734616177.417,129514
Lag_Input_Topic,1734616178.417,116836
Lag_Input_Topic,1734616179.417,91099
Lag_Input_Topic,1734616180.417,91106
Lag_Input_Topic,1734616181.417,91112
Lag_Input_Topic,1734616182.417,76039
Lag_Input_Topic,1734616183.417,70457
Lag_Input_Topic,1734616184.417,60031
Lag_Input_Topic,1734616185.417,51928
Lag_Input_Topic,1734616186.417,51939
Lag_Input_Topic,1734616187.417,49941
Lag_Input_Topic,1734616188.417,30788
Lag_Input_Topic,1734616189.417,22515
Lag_Input_Topic,1734616190.417,13467
Lag_Input_Topic,1734616191.417,13474
Lag_Input_Topic,1734616192.417,13481
Lag_Input_Topic,1734616193.417,607
Lag_Input_Topic,1734616194.417,0
Lag_Input_Topic,1734616195.417,7
Lag_Input_Topic,1734616196.417,14
Lag_Input_Topic,1734616197.417,24
Lag_Input_Topic,1734616198.417,28
Lag_Input_Topic,1734616199.417,21
Lag_Input_Topic,1734616200.417,0
Lag_Input_Topic,1734616201.417,7
Lag_Input_Topic,1734616202.417,14
Lag_Input_Topic,1734616203.417,21
Lag_Input_Topic,1734616204.417,0
