Metric,Time,Value
Lag_Input_Topic,1734639125.476,309829
Lag_Input_Topic,1734639127.476,287975
Lag_Input_Topic,1734639129.476,284489
Lag_Input_Topic,1734639130.476,284503
Lag_Input_Topic,1734639131.476,274314
Lag_Input_Topic,1734639132.476,266706
Lag_Input_Topic,1734639134.476,253503
Lag_Input_Topic,1734639135.476,253512
Lag_Input_Topic,1734639136.476,253519
Lag_Input_Topic,1734639137.476,238936
Lag_Input_Topic,1734639138.476,224029
Lag_Input_Topic,1734639139.476,215347
Lag_Input_Topic,1734639140.476,215349
Lag_Input_Topic,1734639141.476,215356
Lag_Input_Topic,1734639142.476,202332
Lag_Input_Topic,1734639143.476,188261
Lag_Input_Topic,1734639144.476,165436
Lag_Input_Topic,1734639145.476,165444
Lag_Input_Topic,1734639146.476,165450
Lag_Input_Topic,1734639147.476,165457
Lag_Input_Topic,1734639148.476,158235
Lag_Input_Topic,1734639149.476,110632
Lag_Input_Topic,1734639150.476,110641
Lag_Input_Topic,1734639151.476,110647
Lag_Input_Topic,1734639152.476,110652
Lag_Input_Topic,1734639153.476,110660
Lag_Input_Topic,1734639154.476,110667
Lag_Input_Topic,1734639155.476,110677
Lag_Input_Topic,1734639156.476,110680
Lag_Input_Topic,1734639157.476,110692
Lag_Input_Topic,1734639158.476,110694
Lag_Input_Topic,1734639159.476,110702
Lag_Input_Topic,1734639160.476,110708
Lag_Input_Topic,1734639161.476,110716
Lag_Input_Topic,1734639162.476,110723
Lag_Input_Topic,1734639163.476,110728
Lag_Input_Topic,1734639164.476,110737
Lag_Input_Topic,1734639165.476,110749
Lag_Input_Topic,1734639166.476,110750
Lag_Input_Topic,1734639167.476,110759
Lag_Input_Topic,1734639168.476,110765
Lag_Input_Topic,1734639169.476,110774
Lag_Input_Topic,1734639170.476,110782
Lag_Input_Topic,1734639171.476,110786
Lag_Input_Topic,1734639172.476,110793
Lag_Input_Topic,1734639173.476,110802
Lag_Input_Topic,1734639174.476,110810
Lag_Input_Topic,1734639176.476,110816
Lag_Input_Topic,1734639177.476,110830
Lag_Input_Topic,1734639178.476,110839
Lag_Input_Topic,1734639179.476,110844
Lag_Input_Topic,1734639180.476,110850
Lag_Input_Topic,1734639181.476,110855
Lag_Input_Topic,1734639183.476,110865
Lag_Input_Topic,1734639185.476,178797
Lag_Input_Topic,1734639186.476,363601
Lag_Input_Topic,1734639188.476,403417
Lag_Input_Topic,1734639189.476,386145
Lag_Input_Topic,1734639191.476,378889
Lag_Input_Topic,1734639192.476,374773
Lag_Input_Topic,1734639193.476,374780
Lag_Input_Topic,1734639194.476,367683
Lag_Input_Topic,1734639195.476,364082
Lag_Input_Topic,1734639196.476,347794
Lag_Input_Topic,1734639197.476,347801
Lag_Input_Topic,1734639198.476,343162
Lag_Input_Topic,1734639199.476,343169
Lag_Input_Topic,1734639200.476,328584
Lag_Input_Topic,1734639201.476,291633
Lag_Input_Topic,1734639202.476,291640
Lag_Input_Topic,1734639203.476,284507
Lag_Input_Topic,1734639204.476,284514
Lag_Input_Topic,1734639205.476,277521
Lag_Input_Topic,1734639206.476,256552
Lag_Input_Topic,1734639207.476,233688
Lag_Input_Topic,1734639208.476,233695
Lag_Input_Topic,1734639209.476,224421
Lag_Input_Topic,1734639210.476,224428
Lag_Input_Topic,1734639211.476,205012
Lag_Input_Topic,1734639212.476,180209
Lag_Input_Topic,1734639213.476,172265
Lag_Input_Topic,1734639214.476,164987
Lag_Input_Topic,1734639215.476,164994
Lag_Input_Topic,1734639216.476,155001
Lag_Input_Topic,1734639217.476,117696
Lag_Input_Topic,1734639218.476,117703
Lag_Input_Topic,1734639219.476,109060
Lag_Input_Topic,1734639220.476,109067
Lag_Input_Topic,1734639221.476,101074
Lag_Input_Topic,1734639222.476,81920
Lag_Input_Topic,1734639223.476,74209
Lag_Input_Topic,1734639224.476,74216
Lag_Input_Topic,1734639225.476,63416
Lag_Input_Topic,1734639226.476,51432
Lag_Input_Topic,1734639227.476,37627
Lag_Input_Topic,1734639228.476,24765
Lag_Input_Topic,1734639229.476,24772
Lag_Input_Topic,1734639230.476,19714
Lag_Input_Topic,1734639231.476,19721
Lag_Input_Topic,1734639232.476,3976
Lag_Input_Topic,1734639233.476,7
Lag_Input_Topic,1734639234.476,14
Lag_Input_Topic,1734639235.476,21
Lag_Input_Topic,1734639236.476,28
Lag_Input_Topic,1734639237.476,35
Lag_Input_Topic,1734639238.476,4
Lag_Input_Topic,1734639239.476,11
Lag_Input_Topic,1734639240.476,18
Lag_Input_Topic,1734639241.476,27
Lag_Input_Topic,1734639242.476,25
Lag_Input_Topic,1734639243.476,7
Lag_Input_Topic,1734639244.476,14
Lag_Input_Topic,1734639245.476,21
Lag_Input_Topic,1734639246.476,28
Lag_Input_Topic,1734639247.476,7
Lag_Input_Topic,1734639248.476,14
Lag_Input_Topic,1734639249.476,21
Lag_Input_Topic,1734639250.476,26
Lag_Input_Topic,1734639251.476,33
Lag_Input_Topic,1734639252.476,19
Lag_Input_Topic,1734639253.476,26
Lag_Input_Topic,1734639254.476,33
Lag_Input_Topic,1734639255.476,5
Lag_Input_Topic,1734639256.476,12
Lag_Input_Topic,1734639257.476,19
Lag_Input_Topic,1734639258.476,26
Lag_Input_Topic,1734639259.476,33
Lag_Input_Topic,1734639260.476,21
Lag_Input_Topic,1734639261.476,28
Lag_Input_Topic,1734639262.476,0
Lag_Input_Topic,1734639263.476,7
Lag_Input_Topic,1734639264.476,14
Lag_Input_Topic,1734639265.476,21
Lag_Input_Topic,1734639266.476,28
Lag_Input_Topic,1734639267.476,0
Lag_Input_Topic,1734639268.476,7
Lag_Input_Topic,1734639269.476,14
Lag_Input_Topic,1734639270.476,21
Lag_Input_Topic,1734639271.476,28
Lag_Input_Topic,1734639272.476,35
